=== deploy13
twelve>proactive: 0.999900019996
proactive>twelve: 9.99800039992e-05
twelve>questionable: 0.999933342221
questionable>twelve: 6.66577789628e-05
twelve>troublesome: 0.5
troublesome>twelve: 0.5
twelve>contentious: 0.5
contentious>twelve: 0.5
twelve>desperate: 0.99999428578
desperate>twelve: 5.71422040891e-06
twelve>nicer: 0.999750124938
nicer>twelve: 0.000249875062469
twelve>sal: 0.999001996008
sal>twelve: 0.000998003992016
twelve>pro: 0.5
pro>twelve: 0.5
twelve>premier: 0.5
premier>twelve: 0.5
twelve>turned: 0.5
turned>twelve: 0.5
twelve>sad: 0.999994652464
sad>twelve: 5.34753638999e-06
twelve>prestigious: 0.9995004995
prestigious>twelve: 0.0004995004995
twelve>say: 0.5
say>twelve: 0.5
twelve>unaltered: 0.5
unaltered>twelve: 0.5
twelve>insatiable: 0.5
insatiable>twelve: 0.5
twelve>occupied: 0.999666888741
occupied>twelve: 0.000333111259161
twelve>luminous: 0.5
luminous>twelve: 0.5
twelve>deserted: 0.9995004995
deserted>twelve: 0.0004995004995
twelve>squat: 0.5
squat>twelve: 0.5
twelve>abysmal: 0.5
abysmal>twelve: 0.5
twelve>efficient: 0.999990196271
efficient>twelve: 9.80372933864e-06
twelve>shocked: 0.999666888741
shocked>twelve: 0.000333111259161
twelve>underpaid: 0.5
underpaid>twelve: 0.5
twelve>terrific: 0.999983871488
terrific>twelve: 1.61285119835e-05
twelve>endangered: 0.999001996008
endangered>twelve: 0.000998003992016
twelve>ideal: 0.999909107435
ideal>twelve: 9.08925649882e-05
twelve>potential: 0.5
potential>twelve: 0.5
twelve>objective: 0.999666888741
objective>twelve: 0.000333111259161
twelve>responsibility: 0.5
responsibility>twelve: 0.5
twelve>personalized: 0.5
personalized>twelve: 0.5
twelve>blunt: 0.5
blunt>twelve: 0.5
twelve>switching: 0.999001996008
switching>twelve: 0.000998003992016
twelve>flattered: 0.999001996008
flattered>twelve: 0.000998003992016
twelve>begin: 0.999750124938
begin>twelve: 0.000249875062469
twelve>sure: 0.999989690934
sure>twelve: 1.03090657925e-05
twelve>multiple: 0.5
multiple>twelve: 0.5
twelve>opposite: 0.99983338887
opposite>twelve: 0.000166611129623
twelve>clearer: 0.999916680553
clearer>twelve: 8.33194467589e-05
twelve>paid: 0.999666888741
paid>twelve: 0.000333111259161
twelve>n'tunderstand: 0.5
n'tunderstand>twelve: 0.5
twelve>importantly: 0.999944450617
importantly>twelve: 5.55493834018e-05
twelve>purty: 0.5
purty>twelve: 0.5
twelve>cleared: 0.5
cleared>tw
